month,delta18O,d-excess,delta2H
January,-18.46638655,13.04407713,-134.6870153
February,-14.24369748,12.27272727,-101.6768526
March,-11.72268908,11.50137741,-82.28013519
April,-10.08403361,11.00550964,-69.66675927
May,-8.949579832,8.691460055,-62.9051786
June,-9.075630252,10.61983471,-61.98520731
July,-7.24789916,7.093663912,-50.88952937
August,-8.004201681,11.22589532,-52.80771813
September,-9.390756303,11.83195592,-63.2940945
October,-12.79411765,14.97245179,-87.38048939
November,-11.40756303,17.28650138,-73.97400282
December,-14.62184874,16.23966942,-100.7351205