,old.sampleid,sampleid,season,delta13c,delta15n,c_n_ratio,delta34s,species.x,role.x,sitename,sitecode,species.y,role.y,delta2h,ampl,p_h
1,SC-S17-198-1,SC-S17-198-1,summer,-25.33,12.64,3.67,NA,common shiner,invertivore,Caughell 17,17SC,common shiner,invertivore,-121.03,5467,7
2,SC-S17-198-2,SC-S17-198-2,summer,-25.12,11.69,3.25,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
3,SC-S17-198-3,SC-S17-198-3,summer,-25.75,11.7,3.73,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
4,SC-S17-198-4,SC-S17-198-4,summer,-25.65,12.26,3.62,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
5,SC-S17-198-5,SC-S17-198-5,summer,-25.04,12.24,3.58,NA,common shiner,invertivore,Caughell 17,17SC,common shiner,invertivore,-118.82,5579,7
6,SC-S17-198-6,SC-S17-198-6,summer,-25.09,11.93,3.62,NA,common shiner,invertivore,Caughell 17,17SC,common shiner,invertivore,-107.96,5297,6.9
7,SC-S17-198-7,SC-S17-198-7,summer,-25.02,12.3,3.72,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
8,SC-S17-198-8,SC-S17-198-8,summer,-25.27,11.63,3.67,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
9,SC-S17-198-9,SC-S17-198-9,summer,-24.98,11.74,3.63,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
10,SC-S17-198-10,SC-S17-198-10,summer,-24.96,12.52,3.74,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
11,SC-F17-198-1,SC-F17-198-1,fall,-24.92,11.53,3.48,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
12,SC-F17-198-2,SC-F17-198-2,fall,-25.03,11.86,3.4,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
13,SC-F17-198-3 AVG,SC-F17-198-3,fall,-25.23,12.06,3.39,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
14,SC-F17-198-4,SC-F17-198-4,fall,-25.1,12.55,3.41,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
15,SC-F17-198-5,SC-F17-198-5,fall,-25.03,11.24,3.34,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
16,SC-F17-198-6,SC-F17-198-6,fall,-25.15,10.22,3.33,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
17,SC-F17-198-7,SC-F17-198-7,fall,-24.84,11.5,3.32,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
18,SC-F17-198-8,SC-F17-198-8,fall,-25.43,12.62,3.38,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
19,SC-F17-198-9,SC-F17-198-9,fall,-24.6,11.87,3.4,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
20,SC-F17-198-10,SC-F17-198-10,fall,-24.82,11.91,3.32,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
21,SC-S17-212-1,SC-S17-212-1,summer,-24.73,10.07,3.59,0.01,creek chub,cc,Caughell 17,17SC,creek chub,cc,-104.27,5573,7
22,SC-S17-212-2,SC-S17-212-2,summer,-24.33,11.14,3.32,-0.1,creek chub,cc,Caughell 17,17SC,creek chub,cc,-94.4,5093,6.8
23,SC-S17-212-4,SC-S17-212-4,summer,-24.62,9.77,3.18,0.04,creek chub,cc,Caughell 17,17SC,creek chub,cc,-91.52,4921,6.6
24,SC-S17-212-5,SC-S17-212-5,summer,-24.51,10.63,3.24,-0.08,creek chub,cc,Caughell 17,17SC,creek chub,cc,-87.82,5975,6.7
25,SC-S17-212-7,SC-S17-212-7,summer,-25.01,10.21,3.62,-0.14,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
26,SC-S17-212-8 AVG,SC-S17-212-8,summer,-25,10.78,3.46,-0.26,creek chub,cc,Caughell 17,17SC,creek chub,cc,-98.99,5034,6.7
27,SC-S17-212-12,SC-S17-212-12,summer,-24.76,10.59,3.47,-0.16,creek chub,cc,Caughell 17,17SC,creek chub,cc,-94.07,6415,6.8
28,SC-S17-212-14,SC-S17-212-14,summer,-24.47,11.26,3.26,0.12,creek chub,cc,Caughell 17,17SC,creek chub,cc,-106.69,6164,6.7
29,SC-S17-212-15,SC-S17-212-15,summer,-24.47,9.73,3.38,0.25,creek chub,cc,Caughell 17,17SC,creek chub,cc,-95.22,5109,6.8
30,SC-S17-212-16,SC-S17-212-16,summer,-24.96,10.11,3.65,0.15,creek chub,cc,Caughell 17,17SC,creek chub,cc,-92.31,5199,6.8
31,SC-S17-201-1,SC-S17-201-1,summer,-26.18,11.06,3.4,NA,spottail shiner,herbivore,Caughell 17,17SC,spottail shiner,planktivore,-135.36,5749,7
32,SC-S17-201-2,SC-S17-201-2,summer,-25.67,10.93,3.38,NA,spottail shiner,herbivore,Caughell 17,17SC,spottail shiner,planktivore,-125.85,5309,6.7
33,SC-S17-TER-1,SC-S17-TER-1,summer,-26.09,-0.38,3.92,1.15,european garden snail,terbase,Caughell 17,17SC,european garden snail,terbase,-87.06,6221,6.5
34,SC-S17-TER-2,SC-S17-TER-2,summer,-31.04,6.04,6.74,-1.47,caterpillar,terbase,Caughell 17,17SC,caterpillar,terbase,-113.61,6421,7.5
35,SC-S17-AQB-1,SC-S17-AQB-1,summer,-28.43,9.47,4.48,-1.28,mayfly,aqbase,Caughell 17,17SC,mayfly,aqbase,-127,5475,5.6
36,SC-F17-212-1,SC-F17-212-1,fall,-25.21,9.97,3.26,NA,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
37,SC-F17-212-2,SC-F17-212-2,fall,-24.96,8.71,3.53,NA,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
38,SC-F17-212-3,SC-F17-212-3,fall,-24.85,9.37,3.32,NA,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
39,SC-F17-212-6 AVG,SC-F17-212-6,fall,-25.7,10.54,3.46,NA,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
40,SC-F17-212-4,SC-F17-212-4,fall,-24.7,9.27,3.32,NA,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
41,SC-F17-212-5,SC-F17-212-5,fall,-25.18,10.76,3.31,NA,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
42,SC-F17-212-11,SC-F17-212-11,fall,-25.12,11.19,3.46,NA,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
43,SC-F17-212-12,SC-F17-212-12,fall,-25.3,10.95,3.42,NA,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
44,SC-F17-212-13,SC-F17-212-13,fall,-24.93,10.38,3.4,NA,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
45,SC-F17-341-1,SC-F17-341-1,fall,-25.03,13.65,3.21,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
46,SC-F17-341-2,SC-F17-341-2,fall,-25.52,13.01,3.21,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
47,SC-F17-341-4,SC-F17-341-4,fall,-25.29,12.19,3.29,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
48,SC-F17-341-6,SC-F17-341-6,fall,-25.38,13.08,3.24,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
49,SC-F17-341-8,SC-F17-341-8,fall,-24.87,12.36,3.26,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
50,SC-F17-341-9,SC-F17-341-9,fall,-24.99,13.11,3.23,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
51,SC-F17-341-10,SC-F17-341-10,fall,-24.81,12.41,3.26,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
52,SC-F17-208-1 AVG,SC-F17-208-1,fall,-26.5,12.41,3.32,-1.84,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
53,SC-F17-341-16,SC-F17-341-16,fall,-25.9,12.81,3.25,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
54,SC-F17-341-19,SC-F17-341-19,fall,-25.36,13.83,3.22,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
55,SC-F17-341-20,SC-F17-341-20,fall,-26.81,14.83,3.24,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
56,SC-F17-208-2,SC-F17-208-2,fall,-26.32,12.54,3.47,-2.22,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
57,SC-F17-208-3,SC-F17-208-3,fall,-27.27,13.15,3.49,-2.14,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
58,SC-F17-208-4,SC-F17-208-4,fall,-26.53,13.06,3.38,-2.18,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
59,SC-F17-208-5,SC-F17-208-5,fall,-26.5,12.69,3.39,-2.05,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
60,SC-F17-208-6,SC-F17-208-6,fall,-26.43,12.63,3.35,-2.37,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
61,SC-F17-208-7,SC-F17-208-7,fall,-27.14,12.99,3.39,-2.27,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
62,SC-F17-208-8,SC-F17-208-8,fall,-26.87,13.61,3.56,-2.21,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
63,SC-F17-208-9,SC-F17-208-9,fall,-27.04,13.45,3.53,-2.03,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
64,SC-F17-TER-1,SC-F17-TER-1,fall,-25.57,-1.93,4.42,1.64,european garden snail,terbase,NA,NA,NA,NA,NA,NA,NA
65,SC-F17-AQB-1 AVG,SC-F17-AQB-1,fall,-28.8,8.66,4.66,0.35,mayfly,aqbase,NA,NA,NA,NA,NA,NA,NA
66,SC-F17-163-1,SC-F17-163-1,fall,-26.1,12.3,3.26,-2.23,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
67,SC-F17-163-2,SC-F17-163-2,fall,-25.73,11.11,3.2,-2.35,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
68,SC-F17-163-3,SC-F17-163-3,fall,-25.65,12.35,3.3,-2.34,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
69,SC-F17-163-4,SC-F17-163-4,fall,-25.84,11.72,3.27,-2.27,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
70,SC-F17-163-5,SC-F17-163-5,fall,-25.94,12.16,3.29,-2.08,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
71,SC-F17-163-6,SC-F17-163-6,fall,-25.75,12.04,3.26,-2.03,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
72,SC-F17-163-7,SC-F17-163-7,fall,-28.79,13.57,3.43,-1.32,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
73,SC-F17-163-8,SC-F17-163-8,fall,-26.01,12.71,3.28,-2.22,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
74,SC-F17-163-9,SC-F17-163-9,fall,-24.75,11.83,3.14,-2.51,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
75,SC-F17-163-10,SC-F17-163-10,fall,-25.23,11.01,3.16,-2.37,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
76,KC-S17-198-1,KC-S17-198-1,summer,-27.28,12.37,3.15,NA,common shiner,invertivore,Kettle Creek 17,17KC,common shiner,invertivore,-123.1,6146,6.4
77,KC-S17-198-2,KC-S17-198-2,summer,-26.26,11.39,3.23,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
78,KC-S17-198-3 AVG,KC-S17-198-3,summer,-25.95,11.63,3.19,NA,common shiner,invertivore,Kettle Creek 17,17KC,common shiner,invertivore,-119.26,6017,6.7
79,KC-S17-198-4,KC-S17-198-4,summer,-27.49,11.78,3.51,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
80,KC-S17-198-5,KC-S17-198-5,summer,-26.4,13.45,3.32,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
81,KC-S17-198-6,KC-S17-198-6,summer,-27.04,11.67,3.22,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
82,KC-S17-198-7,KC-S17-198-7,summer,-25.97,10.71,3.31,NA,common shiner,invertivore,Kettle Creek 17,17KC,common shiner,invertivore,-112.2,5584,6.6
83,KC-S17-198-8,KC-S17-198-8,summer,-27.68,12.49,3.67,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
84,KC-S17-212-1,KC-S17-212-1,summer,-25.75,11.08,3.29,0.69,creek chub,cc,Kettle Creek 17,17KC,creek chub,cc,-107.06,5515,6.7
85,KC-S17-212-2,KC-S17-212-2,summer,-26.18,11.76,3.24,1.6,creek chub,cc,Kettle Creek 17,17KC,creek chub,cc,-106.33,6368,6.6
86,KC-S17-212-3,KC-S17-212-3,summer,-25.75,11.91,3.16,2.17,creek chub,cc,Kettle Creek 17,17KC,creek chub,cc,-106.18,6606,6.7
87,KC-S17-212-4,KC-S17-212-4,summer,-25.7,11.51,3.21,1.89,creek chub,cc,Kettle Creek 17,17KC,creek chub,cc,-108.38,4958,6.6
88,KC-S17-212-5,KC-S17-212-5,summer,-25.52,10.06,3.2,0.83,creek chub,cc,Kettle Creek 17,17KC,creek chub,cc,-101.8,5091,6.8
89,KC-S17-212-7,KC-S17-212-7,summer,-25.4,9.82,3.17,1.23,creek chub,cc,Kettle Creek 17,17KC,creek chub,cc,-100.47,5695,6.6
90,KC-S17-212-8,KC-S17-212-8,summer,-25.68,11.37,3.17,1.1,creek chub,cc,Kettle Creek 17,17KC,creek chub,cc,-109.43,5834,6.6
91,KC-S17-212-9 AVG,KC-S17-212-9,summer,-26.47,11.71,3.24,1.67,creek chub,cc,Kettle Creek 17,17KC,creek chub,cc,-105.92,5279,6.9
92,KC-S17-212-10,KC-S17-212-10,summer,-25.07,9.84,3.2,1.47,creek chub,cc,Kettle Creek 17,17KC,creek chub,cc,-100.25,5907,6.8
93,KC-S17-208-1,KC-S17-208-1,summer,-26.14,12.4,3.45,1.57,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
94,KC-S17-208-2,KC-S17-208-2,summer,-26.26,13.08,3.48,1.13,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
95,KC-S17-208-3,KC-S17-208-3,summer,-26.49,11.57,3.78,0.69,bluntnose minnow,detritivore,Kettle Creek 17,17KC,bluntnose minnow,detritivore,-136.75,4798,6.9
96,KC-S17-208-4,KC-S17-208-4,summer,-25.69,12.63,3.69,0.97,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
97,KC-S17-208-5,KC-S17-208-5,summer,-26.17,12.71,3.53,1.37,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
98,KC-S17-208-6,KC-S17-208-6,summer,-25.49,13.08,3.5,0.26,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
99,KC-S17-208-7,KC-S17-208-7,summer,-25.41,13.29,3.46,0.89,bluntnose minnow,detritivore,Kettle Creek 17,17KC,bluntnose minnow,detritivore,-136.37,5468,6.9
100,KC-S17-208-8,KC-S17-208-8,summer,-26.85,12.96,3.47,0.05,bluntnose minnow,detritivore,NA,NA,NA,NA,NA,NA,NA
101,KC-S17-208-9,KC-S17-208-9,summer,-25.88,13.26,3.46,0.99,bluntnose minnow,detritivore,Kettle Creek 17,17KC,bluntnose minnow,detritivore,-140.23,5156,6.9
102,KC-S17-201-1,KC-S17-201-1,summer,-26.36,12.65,3.52,NA,spottail shiner,herbivore,Kettle Creek 17,17KC,spottail shiner,planktivore,-128.59,4206,6.9
103,KC-S17-344-1,KC-S17-344-1,summer,-27.77,14.14,3.76,NA,blackside darter,invertivore,Kettle Creek 17,17KC,blackside darter,invertivore,-143.79,5582,7.1
104,KC-S17-344-2 AVG,KC-S17-344-2,summer,-27.32,13.87,3.7,NA,blackside darter,invertivore,Kettle Creek 17,17KC,blackside darter,invertivore,-157.95,5485,7.4
105,KC-S17-344-3,KC-S17-344-3,summer,-27.97,13.58,3.69,NA,blackside darter,invertivore,NA,NA,NA,NA,NA,NA,NA
106,KC-S17-344-4,KC-S17-344-4,summer,-28.09,14.23,4.1,NA,blackside darter,invertivore,NA,NA,NA,NA,NA,NA,NA
107,KC-S17-344-5,KC-S17-344-5,summer,-28.18,13.75,3.5,NA,blackside darter,invertivore,NA,NA,NA,NA,NA,NA,NA
108,KC-S17-344-6,KC-S17-344-6,summer,-27.21,13.75,3.88,NA,blackside darter,invertivore,NA,NA,NA,NA,NA,NA,NA
109,KC-S17-344-7,KC-S17-344-7,summer,-27.98,13.55,3.98,NA,blackside darter,invertivore,NA,NA,NA,NA,NA,NA,NA
110,KC-S17-344-8,KC-S17-344-8,summer,-28.45,14.14,3.97,NA,blackside darter,invertivore,Kettle Creek 17,17KC,blackside darter,invertivore,-138.85,4607,7
111,KC-S17-165-1,KC-S17-165-1,summer,-25.92,12.8,3.33,NA,northern hog sucker,herbivore,NA,NA,NA,NA,NA,NA,NA
112,KC-S17-165-2,KC-S17-165-2,summer,-25.76,12.84,3.28,NA,northern hog sucker,herbivore,NA,NA,NA,NA,NA,NA,NA
113,KC-S17-165-3,KC-S17-165-3,summer,-25.7,13.45,3.28,NA,northern hog sucker,herbivore,NA,NA,NA,NA,NA,NA,NA
114,KC-S17-165-4,KC-S17-165-4,summer,-26.09,13.34,3.37,NA,northern hog sucker,herbivore,NA,NA,NA,NA,NA,NA,NA
115,KC-S17-165-5,KC-S17-165-5,summer,-26,13.18,3.29,NA,northern hog sucker,herbivore,Kettle Creek 17,17KC,northern hog sucker,herbivore,-122.78,5208,6.8
116,KC-S17-165-6,KC-S17-165-6,summer,-26.25,13.28,3.22,NA,northern hog sucker,herbivore,Kettle Creek 17,17KC,northern hog sucker,herbivore,-130.05,4070,5.5
117,KC-S17-165-7 AVG,KC-S17-165-7,summer,-25.79,13.21,3.28,NA,northern hog sucker,herbivore,NA,NA,NA,NA,NA,NA,NA
