,old.sampleid,sampleid,season,delta13c,delta15n,c_n_ratio,delta34s,species.x,role.x,sitename,sitecode,species.y,role.y,delta2h,ampl,p_h
238,BG-F17-210-2,BG-F17-210-2,fall,-29.24,10.82,3.59,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
239,BG-F17-210-3,BG-F17-210-3,fall,-28.44,9.48,3.64,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
240,BG-F17-210-4,BG-F17-210-4,fall,-29.16,8.85,4.28,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
241,BG-F17-210-5,BG-F17-210-5,fall,-27.99,8.69,3.57,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
242,BG-F17-210-6,BG-F17-210-6,fall,-29.89,10.23,3.8,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
243,BG-F17-210-7,BG-F17-210-7,fall,-28.31,8.77,3.86,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
244,BG-F17-210-8,BG-F17-210-8,fall,-28.13,9,3.64,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
245,BG-F17-210-9,BG-F17-210-9,fall,-27.19,8.2,3.59,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
246,BG-F17-210-10 AVG,BG-F17-210-10,fall,-27.9,9.15,3.6,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
247,BG-F17-TER-1,BG-F17-TER-1,fall,-33.57,0.79,5.78,25.87,caterpillar,terbase,NA,NA,NA,NA,NA,NA,NA
248,BG-F17-AQB-1,BG-F17-AQB-1,fall,-28.85,8.27,4.4,-0.67,mayfly/caddisfly,aqbase,NA,NA,NA,NA,NA,NA,NA
249,DE-S17-TER-1,DE-S17-TER-1,summer,-28.88,1.82,4.35,-4.02,caterpillar,terbase,NA,NA,NA,NA,NA,NA,NA
250,DE-S17-AQB-1,DE-S17-AQB-1,summer,-28.3,6.5,5.15,-1.06,mayfly/caddisfly,aqbase,NA,NA,NA,NA,NA,NA,NA
251,LEF-S17-TER-1,LEF-S17-TER-1,summer,-28.19,-0.7,4.41,-2.99,caterpillar,terbase,NA,NA,NA,NA,NA,NA,NA
252,LEF-S17-AQB-1,LEF-S17-AQB-1,summer,-38.42,9.49,10.43,2.59,algae,algae,NA,NA,NA,NA,NA,NA,NA
253,BS-S17-TER-1,BS-S17-TER-1,summer,-33.54,-1.89,6.75,2.67,white tree hopper,terbase,NA,NA,NA,NA,NA,NA,NA
254,KC-S17-212-6,KC-S17-212-6,summer,-25.85,11.07,3.27,NA,creek chub,cc,Kettle Creek 17,17KC,creek chub,cc,-108.96,5482,6.8
255,WA-S17-198-1,WA-S17-198-1,summer,-25.87,10.58,3.45,NA,common shiner,invertivore,Watson 17,17WA,common shiner,invertivore,-107.36,4421,6.9
256,WA-S17-198-2,WA-S17-198-2,summer,-26.78,10.86,3.74,NA,common shiner,invertivore,Watson 17,17WA,common shiner,invertivore,-115.36,5522,7
257,WA-S17-198-3,WA-S17-198-3,summer,-26.53,10.22,3.92,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
258,WA-S17-198-4 AVG,WA-S17-198-4,summer,-26.48,12.85,3.47,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
259,WA-S17-198-5,WA-S17-198-5,summer,-25.82,10.13,3.45,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
260,WA-S17-198-6,WA-S17-198-6,summer,-26.5,10.58,3.54,NA,common shiner,invertivore,NA,NA,NA,NA,NA,NA,NA
261,WA-S17-198-7,WA-S17-198-7,summer,-27.14,12.24,3.61,NA,common shiner,invertivore,Watson 17,17WA,common shiner,invertivore,-120.1,4832,7
262,WA-S17-212-2,WA-S17-212-2,summer,-25.56,11.02,3.34,0.02,creek chub,cc,Watson 17,17WA,creek chub,cc,-94.17,4542,6.6
263,WA-S17-212-3,WA-S17-212-3,summer,-25.02,9.67,3.36,0.2,creek chub,cc,Watson 17,17WA,creek chub,cc,-90.59,5386,6.6
264,WA-S17-212-4,WA-S17-212-4,summer,-25.59,10.03,3.28,-0.52,creek chub,cc,Watson 17,17WA,creek chub,cc,-89.11,4075,6.7
265,WA-S17-212-5,WA-S17-212-5,summer,-25.35,9.26,3.3,0.18,creek chub,cc,Watson 17,17WA,creek chub,cc,-91.97,5379,6.8
266,WA-S17-212-6,WA-S17-212-6,summer,-25.79,9.98,3.34,-0.46,creek chub,cc,Watson 17,17WA,creek chub,cc,-91.35,4448,6.7
267,WA-S17-212-7,WA-S17-212-7,summer,-25.78,9.94,3.64,0.18,creek chub,cc,Watson 17,17WA,creek chub,cc,-103.57,5716,7
268,WA-S17-212-8,WA-S17-212-8,summer,-25.76,10.33,3.35,-0.55,creek chub,cc,Watson 17,17WA,creek chub,cc,-91.79,4543,6.6
269,WA-S17-212-9,WA-S17-212-9,summer,-25.34,10.54,3.36,-0.27,creek chub,cc,Watson 17,17WA,creek chub,cc,-88.96,4576,6.7
270,WA-S17-212-10,WA-S17-212-10,summer,-25.34,9.5,3.47,-0.09,creek chub,cc,Watson 17,17WA,creek chub,cc,-92.23,5917,6.8
271,WA-S17-201-1 AVG,WA-S17-201-1,summer,-26.62,11.48,3.57,NA,spottail shiner,herbivore,Watson 17,17WA,spottail shiner,planktivore,-113.83,4928,7
272,WA-S17-200-1,WA-S17-200-1,summer,-28.22,12.72,3.41,NA,blacknose shiner,herbivore,Watson 17,17WA,blacknose shiner,planktivore,-114.5,4897,6.7
273,WA-S17-210-1,WA-S17-210-1,summer,-26.92,12.58,3.43,NA,blacknose dace,invertivore,Watson 17,17WA,blacknose dace,invertivore,-106.16,5432,6.7
274,WA-S17-210-2,WA-S17-210-2,summer,-26.85,12.42,3.54,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
275,WA-S17-210-3,WA-S17-210-3,summer,-26.19,12.33,3.28,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
276,WA-S17-210-4,WA-S17-210-4,summer,-26.59,12.2,3.5,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
277,WA-S17-210-6,WA-S17-210-6,summer,-26.42,11.49,3.46,NA,blacknose dace,invertivore,Watson 17,17WA,blacknose dace,invertivore,-111.33,5411,6.8
278,WA-S17-210-8,WA-S17-210-8,summer,-26.74,12.51,3.26,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
279,WA-S17-210-10,WA-S17-210-10,summer,-27.54,13.62,3.35,NA,blacknose dace,invertivore,Watson 17,17WA,blacknose dace,invertivore,-110.05,5853,6.7
280,WA-S17-210-11,WA-S17-210-11,summer,-26.86,12.56,3.37,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
281,WA-S17-210-13,WA-S17-210-13,summer,-26.67,12.18,3.43,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
282,WA-S17-210-14,WA-S17-210-14,summer,-25.78,9.28,3.58,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
283,WA-S17-TER-2,WA-S17-TER-2,summer,-24.87,3.69,4.14,5.18,japanese beetle,terbase,Watson 17,17WA,japanese beetle,terbase,-80.75,4460,6
284,WA-S17-AQB-1 AVG,WA-S17-AQB-1,summer,-29.48,7.39,5.35,-1.53,caddisfly,aqbase,Watson 17,17WA,caddisfly,aqbase,-120.87,6407,7.1
285,WA-S17-AQB-2,WA-S17-AQB-2,summer,-30,11.23,4.4,-1.62,mayfly,aqbase,Watson 17,17WA,mayfly,aqbase,-118.66,5883,6
286,WA-F17-163-1,WA-F17-163-1,fall,-25.44,7.81,3.44,-2.05,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
287,WA-F17-163-2,WA-F17-163-2,fall,-28.63,13.61,3.28,-2.54,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
288,WA-F17-163-3,WA-F17-163-3,fall,-27.23,12.32,3.38,-1.1,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
289,WA-F17-163-4,WA-F17-163-4,fall,-30.07,13.81,3.43,-2.08,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
290,WA-F17-163-5,WA-F17-163-5,fall,-28.28,13.3,3.33,-2.23,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
291,WA-F17-212-1,WA-F17-212-1,fall,-25.58,7.9,3.32,1.25,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
292,WA-F17-212-2,WA-F17-212-2,fall,-25.92,8.47,3.43,1.02,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
293,WA-F17-212-3,WA-F17-212-3,fall,-25.84,10.21,3.32,0.95,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
294,WA-F17-212-9,WA-F17-212-9,fall,-25.8,9.13,3.3,0.69,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
295,WA-F17-212-10,WA-F17-212-10,fall,-26.31,8.58,3.37,-0.25,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
296,WA-F17-212-11,WA-F17-212-11,fall,-25.59,8.44,3.37,0.63,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
297,WA-F17-212-12 ,WA-F17-212-12 ,fall,-25.53,7.96,3.43,1.02,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
298,WA-F17-212-13,WA-F17-212-13,fall,-24.9,8.33,3.44,1.64,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
299,WA-F17-212-14,WA-F17-212-14,fall,-25.5,7.91,3.41,0.23,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
300,WA-F17-212-15,WA-F17-212-15,fall,-25.88,8.67,3.45,1.6,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
301,WA-F17-341-2,WA-F17-341-2,fall,-28.14,14.96,3.3,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
302,WA-F17-341-3,WA-F17-341-3,fall,-27.92,14.84,3.36,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
303,WA-F17-341-4,WA-F17-341-4,fall,-28.6,14.07,3.38,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
304,WA-F17-341-5,WA-F17-341-5,fall,-27.69,14.42,3.3,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
305,WA-F17-341-6,WA-F17-341-6,fall,-28.64,14.01,3.31,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
306,WA-F17-341-7,WA-F17-341-7,fall,-27.73,14.61,3.3,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
307,WA-F17-341-8,WA-F17-341-8,fall,-28.5,13.55,3.3,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
308,WA-F17-341-9,WA-F17-341-9,fall,-28.3,14.39,3.32,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
309,WA-F17-341-10,WA-F17-341-10,fall,-27.77,14.48,3.3,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
310,WA-F17-210-1 AVG,WA-F17-210-1,fall,-26.39,9.95,3.42,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
311,WA-F17-341-11,WA-F17-341-11,fall,-28.84,14.44,3.26,NA,johnny darter,invertivore,NA,NA,NA,NA,NA,NA,NA
312,WA-F17-210-2,WA-F17-210-2,fall,-27.89,13.79,3.47,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
313,WA-F17-210-3,WA-F17-210-3,fall,-27.55,11.58,3.57,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
314,WA-F17-210-4,WA-F17-210-4,fall,-27.81,13.89,3.41,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
315,WA-F17-210-5,WA-F17-210-5,fall,-27.78,14.04,3.49,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
316,WA-F17-210-6,WA-F17-210-6,fall,-27.32,13.55,3.39,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
317,WA-F17-210-7,WA-F17-210-7,fall,-27.7,14.15,3.48,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
318,WA-F17-210-8,WA-F17-210-8,fall,-27.04,14.07,3.37,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
319,WA-F17-210-9,WA-F17-210-9,fall,-27.68,12.99,3.41,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
320,WA-F17-210-10,WA-F17-210-10,fall,-27.21,12.86,3.49,NA,blacknose dace,invertivore,NA,NA,NA,NA,NA,NA,NA
321,WA-F17-165-1,WA-F17-165-1,fall,-28.02,13.85,3.31,NA,northern hog sucker,herbivore,NA,NA,NA,NA,NA,NA,NA
322,WA-F17-TER-1,WA-F17-TER-1,fall,-31.03,3.16,4.76,-1.51,caterpillar,terbase,NA,NA,NA,NA,NA,NA,NA
323,WA-F17-165-2 AVG,WA-F17-165-2,fall,-28.05,14.33,3.32,NA,northern hog sucker,herbivore,NA,NA,NA,NA,NA,NA,NA
324,WA-F17-TER-2,WA-F17-TER-2,fall,-18.39,4.37,4.56,5.21,japanese beetle,terbase,NA,NA,NA,NA,NA,NA,NA
325,WA-F17-AQB-1,WA-F17-AQB-1,fall,-31.04,4.38,4.85,-2.91,cranefly larvae,aqbase,NA,NA,NA,NA,NA,NA,NA
326,WA-F17-AQB-2,WA-F17-AQB-2,fall,-29.34,8,4.43,-1.22,amphipod,aqbase,NA,NA,NA,NA,NA,NA,NA
327,JC-F17-163-1,JC-F17-163-1,fall,-31.42,16.28,3.38,-2.43,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
328,JC-F17-163-2,JC-F17-163-2,fall,-29.16,15.31,3.32,-2.47,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
329,JC-F17-163-3,JC-F17-163-3,fall,-28.97,14.58,3.18,-4.7,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
330,JC-F17-163-4,JC-F17-163-4,fall,-30.22,15.68,3.24,-3.18,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
331,JC-F17-163-5,JC-F17-163-5,fall,-29.68,15.56,3.24,-4.11,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
332,JC-F17-163-6,JC-F17-163-6,fall,-29.41,15.51,3.26,-3.79,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
333,JC-F17-163-7,JC-F17-163-7,fall,-29.45,15.28,3.23,-3.86,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
334,JC-F17-163-8,JC-F17-163-8,fall,-28.64,15.16,3.19,-4.03,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
335,JC-F17-163-9,JC-F17-163-9,fall,-28.86,15.06,3.19,-3.18,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
336,JC-F17-163-10 AVG,JC-F17-163-10,fall,-28.52,14.75,3.2,-4.14,white sucker,detritivore,NA,NA,NA,NA,NA,NA,NA
337,JC-F17-212-1,JC-F17-212-1,fall,-24.89,11.96,3.39,4.8,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
338,JC-F17-212-2,JC-F17-212-2,fall,-25.49,8.33,3.41,1.42,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
339,JC-F17-212-3,JC-F17-212-3,fall,-26.65,11.42,3.39,0.58,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
340,JC-F17-212-4,JC-F17-212-4,fall,-27.82,14.25,3.65,-1.74,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
341,JC-F17-212-5,JC-F17-212-5,fall,-26.48,10.14,3.47,0.3,creek chub,cc,NA,NA,NA,NA,NA,NA,NA
342,JC-F17-AQB-1,JC-F17-AQB-1,fall,-30.08,12.62,4.37,-0.34,mayfly,aqbase,NA,NA,NA,NA,NA,NA,NA
343,JC-F17-AQB-3,JC-F17-AQB-3,fall,-29.78,9.04,5.38,1.08,cranefly larvae,aqbase,NA,NA,NA,NA,NA,NA,NA
344,JC-S17-163-1,JC-S17-163-1,summer,-28.45,14.46,3.21,-4.44,white sucker,detritivore,Csoff 17,17JC,white sucker,detritivore,-100.18,5262,6.2
345,JC-S17-163-2,JC-S17-163-2,summer,-28.89,15.07,3.25,-3.94,white sucker,detritivore,Csoff 17,17JC,white sucker,detritivore,-111.36,5247,6.8
346,JC-S17-163-3,JC-S17-163-3,summer,-29.55,14.78,3.22,-2.8,white sucker,detritivore,Csoff 17,17JC,white sucker,detritivore,-104.97,4615,6.7
347,JC-S17-212-1,JC-S17-212-1,summer,-25.51,10.59,3.17,-0.57,creek chub,cc,Csoff 17,17JC,creek chub,cc,-87.6,6148,6.8
348,JC-S17-212-2 AVG,JC-S17-212-2,summer,-26.49,11.65,3.2,-2.38,creek chub,cc,Csoff 17,17JC,creek chub,cc,-95.17,5652,6.7
349,JC-S17-212-3,JC-S17-212-3,summer,-25.62,11.12,3.22,-0.72,creek chub,cc,Csoff 17,17JC,creek chub,cc,-84.53,4874,6.7
350,JC-S17-212-4,JC-S17-212-4,summer,-25.59,10.43,3.21,0.49,creek chub,cc,Csoff 17,17JC,creek chub,cc,-87.96,6208,6.8
351,JC-S17-TER-1,JC-S17-TER-1,summer,-31.19,0.28,8.13,1.87,aphids,terbase,Csoff 17,17JC,aphids,terbase,-176.12,6190,8
352,JC-S17-AQB-1,JC-S17-AQB-1,summer,-31.57,13.28,4.87,-2.58,mayfly,aqbase,Csoff 17,17JC,mayfly,aqbase,-112.94,6517,6.9
353,JC-S17-AQB-3,JC-S17-AQB-3,summer,-31.77,9.46,5.54,-4.15,caddisfly,aqbase,Csoff 17,17JC,caddisfly,aqbase,-126.37,6216,7.1
354,WA-S17-212-1,WA-S17-212-1,summer,-25.86,11.58,3.24,NA,creek chub,cc,Watson 17,17WA,creek chub,cc,-95.99,5888,6.9
355,BS-S17-AQB-1,BS-S17-AQB-1,summer,-38.18,9.04,10.24,NA,orange bacterial colony,aqbase,NA,NA,NA,NA,NA,NA,NA
356,JC-F17-TER-1,JC-F17-TER-1,fall,-32.26,-2.22,16.42,4.14,fuzzy aphids,terbase,NA,NA,NA,NA,NA,NA,NA
357,JC-S17-AQB-2,JC-S17-AQB-2,summer,-36.4,11.99,10.74,-4.02,algae,algae,Csoff 17,17JC,algae,algae,-121.25,10064,2.9
358,BG-S17-AQB-1,BG-S17-AQB-1,summer,-31.47,6.3,12.33,1.07,algae,algae,Gilvesy 17,17BG,algae,algae,-158.2,8795,2.4
359,NA,BG-S17-TER-1,NA,NA,NA,NA,NA,NA,NA,Gilvesy 17,17BG,aphids,null,-220.62,5995,8.1
360,NA,SC-F17-212-7,NA,NA,NA,NA,NA,NA,NA,Caughell 17,17SC,creek chub,cc,-95.85,6392,7.1
361,NA,WA-S17-165-1,NA,NA,NA,NA,NA,NA,NA,Watson 17,17WA,northern hog sucker,herbivore,-122.3,5841,6.9
362,NA,WA-S17-341-1,NA,NA,NA,NA,NA,NA,NA,Watson 17,17WA,johnny darter,invertivore,-117.7,5468,6.6