old sampleid,sampleid,sitename,sitecode,species,role,delta2h,ampl,p_h
FP-S18-DETRITUS-3,FP-S18-DETRITUS-3,Five Points,FP,detritus,det,-99.73,1556,4.3
FP-S18-EM-1,FP-S18-EM-1,Five Points,FP,emergent macrophyte,algae,-104.61,24930,5.6
FP-S18-EM-2,FP-S18-EM-2,Five Points,FP,emergent macrophyte,algae,-110.7,22850,5.5
FP-S18-GOLDENROD-1,FP-S18-GOLDENROD-1,Five Points,FP,goldenrod,terpp,-125.96,23532,5.6
FP-S18-GOLDENROD-2,FP-S18-GOLDENROD-2,Five Points,FP,goldenrod,terpp,-124.89,22686,5.7
FP-S18-GOLDENROD-3,FP-S18-GOLDENROD-3,Five Points,FP,goldenrod,terpp,-120.97,21985,5.6
FP-S18-SNAIL-1,FP-S18-SNAIL-1,Five Points,FP,european garden snail,terbase,-84.22,28240,6
FP-S18-SNAIL-2,FP-S18-SNAIL-2,Five Points,FP,european garden snail,terbase,-85.24,31288,6.3
FP-S18-SNAIL-3,FP-S18-SNAIL-3,Five Points,FP,european garden snail,terbase,-85,29850,6.3
GF-S18-208-1,GF-S18-208-1,Garrod Farm,GF,bluntnose minnow,detritivore,-129.39,25331,7
GF-S18-341-1,GF-S18-341-1,Garrod Farm,GF,johnny darter,invertivore,-107.36,22047,6.6
GF-S18-341-2,GF-S18-341-2,Garrod Farm,GF,johnny darter,invertivore,-131.18,14047,6.9
GF-S18-341-3,GF-S18-341-3,Garrod Farm,GF,johnny darter,invertivore,-133.68,14401,7
GF-S18-ALG-1,GF-S18-ALG-1,Garrod Farm,GF,algae,algae,-171.59,31915,1.9
GF-S18-ALG-2,GF-S18-ALG-2,Garrod Farm,GF,algae,algae,-172.88,27704,1.8
GF-S18-ALG-3,GF-S18-ALG-3,Garrod Farm,GF,algae,algae,-175.19,30690,1.9
GF-S18-CADDIS-1,GF-S18-CADDIS-1,Garrod Farm,GF,caddisfly,aqbase,-151.43,10652,2.8
GF-S18-CADDIS-2,GF-S18-CADDIS-2,Garrod Farm,GF,caddisfly,aqbase,-151.81,12027,2.8
GF-S18-CAT-1,GF-S18-CAT-1,Garrod Farm,GF,caterpillar,terbase,-98.72,25499,7.2
GF-S18-CAT-2,GF-S18-CAT-2,Garrod Farm,GF,caterpillar,terbase,-97.76,24230,6.4
GF-S18-CAT-3,GF-S18-CAT-3,Garrod Farm,GF,caterpillar,terbase,-97.97,25536,6.4
GF-S18-DET-1,GF-S18-DET-1,Garrod Farm,GF,detritus,det,-115.59,29785,4.3
GF-S18-DET-2,GF-S18-DET-2,Garrod Farm,GF,detritus,det,-108.61,31155,4.5
GF-S18-DET-3,GF-S18-DET-3,Garrod Farm,GF,detritus,det,-116.2,29365,4.2
GF-S18-GOL-1,GF-S18-GOL-1,Garrod Farm,GF,goldenrod,terpp,-128.82,21822,5.8
GF-S18-GOL-2,GF-S18-GOL-2,Garrod Farm,GF,goldenrod,terpp,-122.88,24393,5.7
GF-S18-GOL-3,GF-S18-GOL-3,Garrod Farm,GF,goldenrod,terpp,-126.34,24249,5.7
GF-S18-MAYFLY,GF-S18-MAYFLY,Garrod Farm,GF,mayfly,aqbase,-113.53,613,5.1
HC2-18-AL-01,HC2-18-AL-1,Hawkcliff,HC,algae,algae,-149.74,,
HC2-18-AL-02,HC2-18-AL-2,Hawkcliff,HC,algae,algae,-163.23,,
HC2-18-AL-03,HC2-18-AL-3,Hawkcliff,HC,algae,algae,-170.5,,
HC2-18-CATA-01,HC2-18-CATA-1,Hawkcliff,HC,caterpillar,terbase,-120.76,,
HC2-18-CATA-02,HC2-18-CATA-2,Hawkcliff,HC,caterpillar,terbase,-104.91,,
HC2-18-CATA-03,HC2-18-CATA-3,Hawkcliff,HC,caterpillar,terbase,-99.61,,
HC2-18-CC-06,HC2-18-CC-6,Hawkcliff,HC,creek chub,cc,-103.75,,
HC2-18-CC-13,HC2-18-CC-13,Hawkcliff,HC,creek chub,cc,-101.76,,
HC2-18-CC-18,HC2-18-CC-18,Hawkcliff,HC,creek chub,cc,-108.46,,
HC2-18-CC-19,HC2-18-CC-19,Hawkcliff,HC,creek chub,cc,-100.92,,
HC2-18-CC-20,HC2-18-CC-20,Hawkcliff,HC,creek chub,cc,-96.87,,
HC2-18-CC-35,HC2-18-CC-35,Hawkcliff,HC,creek chub,cc,-109.38,,
HC2-18-CC-43,HC2-18-CC-43,Hawkcliff,HC,creek chub,cc,-106.19,,
HC2-18-CC-44,HC2-18-CC-44,Hawkcliff,HC,creek chub,cc,-109.94,,
HC2-18-CC-49,HC2-18-CC-49,Hawkcliff,HC,creek chub,cc,-107.93,,
HC2-18-DET-01,HC2-18-DET-1,Hawkcliff,HC,detritus,det,-120.37,,
HC2-18-DET-02,HC2-18-DET-2,Hawkcliff,HC,detritus,det,-119.37,,
HC2-18-DET-03,HC2-18-DET-3,Hawkcliff,HC,detritus,det,-105.26,,
HC2-18-SC-01,HC2-18-SC-1,Hawkcliff,HC,goldenrod,terpp,-165.45,,
HC2-18-SC-02,HC2-18-SC-2,Hawkcliff,HC,goldenrod,terpp,-164.5,,
HC2-18-SC-03,HC2-18-SC-3,Hawkcliff,HC,goldenrod,terpp,-162.45,,
HC2-18-TR-01,HC2-18-TR-1,Hawkcliff,HC,caddisfly,aqbase,-122.59,,
HC2-18-TR-02,HC2-18-TR-2,Hawkcliff,HC,caddisfly,aqbase,-129.19,,
HC2-18-CC-41,HC2-18-CC-41,Hawkcliff,HC,creek chub,cc,-102.46,,
HT-S18-163-4,HT-S18-163-4,Hawkins Tract,HT,white sucker,detritivore,-131.04,12435,6.5
HT-S18-212-m1-1,HT-S18-212-MT1,Hawkins Tract,HT,creek chub,cc,-124.78,14709,7
HT-S18-212-m1-2,HT-S18-212-MT2,Hawkins Tract,HT,creek chub,cc,-111.32,14421,6.8
HT-S18-212-m4-3,HT-S18-212-MT3,Hawkins Tract,HT,creek chub,cc,-118.09,14982,6.8
HT-S18-212-m4-4,HT-S18-212-MT4,Hawkins Tract,HT,creek chub,cc,-113.42,14790,6.8
HT-S18-212-m4-5,HT-S18-212-MT5,Hawkins Tract,HT,creek chub,cc,-112.78,12927,6.7
HT-S18-212-m4-7,HT-S18-212-MT7,Hawkins Tract,HT,creek chub,cc,-119.88,13796,6.8
HT-S18-281-36,HT-S18-281-36,Hawkins Tract,HT,brook stickleback,planktivore,-138.86,15025,6.7
HT-S18-341-23,HT-S18-341-23,Hawkins Tract,HT,johnny darter,invertivore,-133.78,12413,6.6
HT-S18-ALGAE-1,HT-S18-ALGAE-1,Hawkins Tract,HT,algae,algae,-143.2,29892,2.6
HT-S18-ALGAE-2,HT-S18-ALGAE-2,Hawkins Tract,HT,algae,algae,-149.74,22799,2.4
HT-S18-ALGAE-3,HT-S18-ALGAE-3,Hawkins Tract,HT,algae,algae,-145.04,25081,2.3
HT-S18-AQU-1,HT-S18-AQU-1,Hawkins Tract,HT,mayfly/caddisfly,aqbase,-134.17,19794,6.8
HT-S18-AQU-2,HT-S18-AQU-2,Hawkins Tract,HT,mayfly/caddisfly,aqbase,-137.96,17675,6.9
HT-S18-DET-1,HT-S18-DET-1,Hawkins Tract,HT,detritus,det,-100.47,15529,4
HT-S18-DET-2,HT-S18-DET-2,Hawkins Tract,HT,detritus,det,-101.86,17929,3.9
HT-S18-DET-3,HT-S18-DET-3,Hawkins Tract,HT,detritus,det,-107.32,21201,5.2
HT-S18-GOL-1,HT-S18-GOL-1,Hawkins Tract,HT,goldenrod,terpp,-115.39,13023,6
HT-S18-GOL-2,HT-S18-GOL-2,Hawkins Tract,HT,goldenrod,terpp,-118.14,14159,5.7
HT-S18-GOL-3,HT-S18-GOL-3,Hawkins Tract,HT,goldenrod,terpp,-116.16,13172,5.7
HT-S18-SNAIL-1,HT-S18-SNAIL-1,Hawkins Tract,HT,european garden snail,terbase,-82.75,16452,6.4
HT-S18-SNAIL-2,HT-S18-SNAIL-2,Hawkins Tract,HT,european garden snail,terbase,-83.47,17287,6.4
HT-S18-SNAIL-3,HT-S18-SNAIL-3,Hawkins Tract,HT,european garden snail,terbase,-82.52,18524,6.1
JC-S18-163-1,JC-S18-163-1,Csoff,JC,white sucker,detritivore,-107.44,26975,6.8
JC-S18-212-1,JC-S18-212-1,Csoff,JC,creek chub,cc,-131.92,25708,6.7
JC-S18-212-2,JC-S18-212-2,Csoff,JC,creek chub,cc,-100.62,25603,6.7
JC-S18-212-3,JC-S18-212-3,Csoff,JC,creek chub,cc,-99.18,22328,6.7
JC-S18-212-4,JC-S18-212-4,Csoff,JC,creek chub,cc,-99.76,23337,6.5
JC-S18-212-5,JC-S18-212-5,Csoff,JC,creek chub,cc,-99.06,23362,6.5
JC-S18-212-6,JC-S18-212-6,Csoff,JC,creek chub,cc,-107.21,25827,6.6
JC-S18-212-7,JC-S18-212-7,Csoff,JC,creek chub,cc,-103.48,25195,6.7
JC-S18-381-7,JC-S18-381-7,Csoff,JC,mottled sculpin,invertivore,-109.95,23845,7
JC-S18-ALG-1,JC-S18-ALG-1,Csoff,JC,algae,algae,-111.61,22571,2.3
JC-S18-ALG-2,JC-S18-ALG-2,Csoff,JC,algae,algae,-110.94,26463,2.4
JC-S18-ALG-3,JC-S18-ALG-3,Csoff,JC,algae,algae,-111.04,19663,2
JC-S18-AQU-1,JC-S18-AQU-1,Csoff,JC,mayfly/caddisfly,aqbase,-117.18,19332,5.9
JC-S18-AQU-2,JC-S18-AQU-2,Csoff,JC,mayfly/caddisfly,aqbase,-121.05,16469,5.9
JC-S18-AQU-3,JC-S18-AQU-3,Csoff,JC,mayfly/caddisfly,aqbase,-118.22,17789,5.8
JC-S18-DET-1,JC-S18-DET-1,Csoff,JC,detritus,det,-102.45,17173,3.8
JC-S18-DET-2,JC-S18-DET-2,Csoff,JC,detritus,det,-102.36,16050,3.4
JC-S18-DET-3,JC-S18-DET-3,Csoff,JC,detritus,det,-100.85,14789,3.5
JC-S18-GOL-1,JC-S18-GOL-1,Csoff,JC,goldenrod,terpp,-124.82,16908,6
JC-S18-GOL-2,JC-S18-GOL-2,Csoff,JC,goldenrod,terpp,-138.59,25933,6.1
JC-S18-GOL-3,JC-S18-GOL-3,Csoff,JC,goldenrod,terpp,-138.73,26774,6.1
JC-S18-TER-1,JC-S18-TER-1,Csoff,JC,snails/caterpillars,terbase,-142.47,28643,7
JC-S18-TER-2,JC-S18-TER-2,Csoff,JC,snails/caterpillars,terbase,-135.86,27475,7.1
JC-S18-TER-3,JC-S18-TER-3,Csoff,JC,snails/caterpillars,terbase,-142.92,28903,7.2
JW-S18-163-8,JW-S18-163-8,White Farm,JW,white sucker,detritivore,-129.44,5751,6.8
JW-S18-212-11,JW-S18-212-11,White Farm,JW,creek chub,cc,-115.22,5622,7
JW-S18-212-14,JW-S18-212-14,White Farm,JW,creek chub,cc,-111.91,5463,6.6
JW-S18-212-15,JW-S18-212-15,White Farm,JW,creek chub,cc,-114.48,4787,6.5
JW-S18-212-16,JW-S18-212-16,White Farm,JW,creek chub,cc,-114.46,4330,6.7
JW-S18-212-17,JW-S18-212-17,White Farm,JW,creek chub,cc,-110.09,5804,6.6
JW-S18-212-18,JW-S18-212-18,White Farm,JW,creek chub,cc,-109.96,6589,6.7
JW-S18-212-26,JW-S18-212-26,White Farm,JW,creek chub,cc,-104.47,4540,5.8
JW-S18-212-27,JW-S18-212-27,White Farm,JW,creek chub,cc,-107.14,5540,7.2
JW-S18-212-27,JW-S18-212-27,White Farm,JW,creek chub,cc,-104.6,5139,6.7
JW-S18-212-6,JW-S18-212-6,White Farm,JW,creek chub,cc,-133.25,5302,6.9
JW-S18-212-7,JW-S18-212-7,White Farm,JW,creek chub,cc,-110.95,4864,6.5
JW-S18-341-26,JW-S18-341-26,White Farm,JW,johnny darter,invertivore,-127.26,5406,6.7
JW-S18-ALGAE-1,JW-S18-ALGAE-1,White Farm,JW,algae,algae,-157.85,4212,1.2
JW-S18-ALGAE-2,JW-S18-ALGAE-2,White Farm,JW,algae,algae,-160.14,4155,1.4
JW-S18-ALGAE-3,JW-S18-ALGAE-3,White Farm,JW,algae,algae,-158.43,5808,1.7
JW-S18-CADDIS-1,JW-S18-CADDIS-1,White Farm,JW,caddisfly,aqbase,-133.49,5032,5.2
JW-S18-CADDIS-2,JW-S18-CADDIS-2,White Farm,JW,caddisfly,aqbase,-132.02,4718,5.2
JW-S18-CAT-1,JW-S18-CAT-1,White Farm,JW,caterpillar,terbase,-109.98,4864,6.4
JW-S18-CAT-2,JW-S18-CAT-2,White Farm,JW,caterpillar,terbase,-110.51,4399,6.4
JW-S18-DETRITUS-1,JW-S18-DET-1,White Farm,JW,detritus,det,-111.65,5845,4.7
JW-S18-DETRITUS-2,JW-S18-DET-2,White Farm,JW,detritus,det,-109.38,6201,5
JW-S18-DETRITUS-3,JW-S18-DET-3,White Farm,JW,detritus,det,-113.69,6931,4.9
JW-S18-GOL-1,JW-S18-GOL-1,White Farm,JW,goldenrod,terpp,-125.91,5293,5.8
JW-S18-GOL-2,JW-S18-GOL-2,White Farm,JW,goldenrod,terpp,-120.73,4323,5.8
JW-S18-GOL-3,JW-S18-GOL-3,White Farm,JW,goldenrod,terpp,-120.29,5120,5.8
KC-S18-163-1,KC-S18-163-1,Kettle Creek,KC,white sucker,detritivore,-134.61,15121,6.6
KC-S18-165-1,KC-S18-165-1,Kettle Creek,KC,northern hog sucker,herbivore,-123.27,15025,7
KC-S18-212-1,KC-S18-212-1,Kettle Creek,KC,creek chub,cc,-115.21,12016,6.5
KC-S18-212-11,KC-S18-212-11,Kettle Creek,KC,creek chub,cc,-106.76,14442,6.5
KC-S18-212-12,KC-S18-212-12,Kettle Creek,KC,creek chub,cc,-111.5,13223,6.8
KC-S18-212-13,KC-S18-212-13,Kettle Creek,KC,creek chub,cc,-101.59,13754,6.7
KC-S18-212-14,KC-S18-212-14,Kettle Creek,KC,creek chub,cc,-106.36,13613,6.7
KC-S18-212-2,KC-S18-212-2,Kettle Creek,KC,creek chub,cc,-110.36,12580,6.4
KC-S18-212-3,KC-S18-212-3,Kettle Creek,KC,creek chub,cc,-114.24,12857,6.8
KC-S18-212-4,KC-S18-212-4,Kettle Creek,KC,creek chub,cc,-112.74,13458,6.7
KC-S18-212-6,KC-S18-212-6,Kettle Creek,KC,creek chub,cc,-105.65,12336,6.2
KC-S18-212-8,KC-S18-212-8,Kettle Creek,KC,creek chub,cc,-120.62,13559,6.7
KC-S18-341-3,KC-S18-341-3,Kettle Creek,KC,johnny darter,invertivore,-124.26,13910,7
KC-S18-ALG-1,KC-S18-ALG-1,Kettle Creek,KC,algae,algae,-165.27,10535,1.2
KC-S18-ALG-2,KC-S18-ALG-2,Kettle Creek,KC,algae,algae,-115.36,13341,1.4
KC-S18-ALG-3,KC-S18-ALG-3,Kettle Creek,KC,algae,algae,-113.71,15757,2
KC-S18-DET-1,KC-S18-DET-1,Kettle Creek,KC,detritus,det,-100.54,18943,4.5
KC-S18-DET-2,KC-S18-DET-2,Kettle Creek,KC,detritus,det,-99.17,20382,4.5
KC-S18-DET-3,KC-S18-DET-3,Kettle Creek,KC,detritus,det,-101.08,18859,4.3
KC-S18-GOL-1,KC-S18-GOL-1,Kettle Creek,KC,goldenrod,terpp,-120.7,13080,5.9
KC-S18-GOL-2,KC-S18-GOL-2,Kettle Creek,KC,goldenrod,terpp,-116.83,13138,5.8
KC-S18-GOL-3,KC-S18-GOL-3,Kettle Creek,KC,goldenrod,terpp,-116.44,13448,5.8
KC-S18-TER-3-1,KC-S18-TER-3-1,Kettle Creek,KC,european garden snail,terbase,-85.73,16013,6.4
KC-S18-TER-3-1,KC-S18-TER-3-2,Kettle Creek,KC,european garden snail,terbase,-85.73,16013,6.4
KC-S18-TER-4-1,KC-S18-TER-4-1,Kettle Creek,KC,caterpillar,terbase,-100.31,11830,6.4
KC-S18-TER-4-2,KC-S18-TER-4-2,Kettle Creek,KC,caterpillar,terbase,-100.03,13908,6.5
LE-S18-331-1,LE-S18-331-1,Lake Erie Farms,LEF,yellow perch,invertivore,-89.43,15802,6.7
LE-S18-630-4,LE-S18-630-4,Lake Erie Farms,LEF,blacknose dace,invertivore,-113,15485,6.8
LE-S18-630-6,LE-S18-630-6,Lake Erie Farms,LEF,blacknose dace,invertivore,-115.06,15061,6.6
LE-S18-630-7,LE-S18-630-7,Lake Erie Farms,LEF,blacknose dace,invertivore,-114.5,14109,6.7
LE-S18-AQU-1,LE-S18-AQU-1,Lake Erie Farms,LEF,algae,algae,-167.05,3430,3.6
LE-S18-AQU-2,LE-S18-AQU-2,Lake Erie Farms,LEF,algae,algae,-171.65,3097,3.6
LE-S18-AQU-3,LE-S18-AQU-3,Lake Erie Farms,LEF,algae,algae,-168.75,3375,3.6
LE-S18-GOL-1,LE-S18-GOL-1,Lake Erie Farms,LEF,goldenrod,terpp,-148.19,15230,6.2
LE-S18-GOL-2,LE-S18-GOL-2,Lake Erie Farms,LEF,goldenrod,terpp,-147.82,13580,6.1
LE-S18-GOL-3,LE-S18-GOL-3,Lake Erie Farms,LEF,goldenrod,terpp,-147.66,15374,6.2
LE-S18-TER-1,LE-S18-TER-1,Lake Erie Farms,LEF,caterpillar,terbase,-127.04,14031,7
LE-S18-TER-2,LE-S18-TER-2,Lake Erie Farms,LEF,caterpillar,terbase,-119.42,16332,7
LE-S18-TER-3,LE-S18-TER-3,Lake Erie Farms,LEF,caterpillar,terbase,-119.72,16660,7
LEST-S18-212-10-MT,LEST-S18-212-MT10,Lake Erie Salmon Trout Club,LEST,creek chub,cc,-96.56,16800,6.9
LEST-S18-212-12,LEST-S18-212-12,Lake Erie Salmon Trout Club,LEST,creek chub,cc,-99.18,13664,6.5
LEST-S18-212-12-MT,LEST-S18-212-MT12,Lake Erie Salmon Trout Club,LEST,creek chub,cc,-92.23,14583,6.7
LEST-S18-212-15-MT,LEST-S18-212-MT15,Lake Erie Salmon Trout Club,LEST,creek chub,cc,-102.74,15909,6.8
LEST-S18-212-17,LEST-S18-212-17,Lake Erie Salmon Trout Club,LEST,creek chub,cc,-101.2,12886,6.4
LEST-S18-212-6-MT,LEST-S18-212-MT6,Lake Erie Salmon Trout Club,LEST,creek chub,cc,-94.77,16013,6.8
LEST-S18-212-7-MT,LEST-S18-212-MT7,Lake Erie Salmon Trout Club,LEST,creek chub,cc,-94.97,14938,6.8
LEST-S18-212-8-MT,LEST-S18-212-MT8,Lake Erie Salmon Trout Club,LEST,creek chub,cc,-96.43,14875,6.7
LEST-S18-212-9-MT,LEST-S18-212-MT9,Lake Erie Salmon Trout Club,LEST,creek chub,cc,-90.66,5676,6.7
LEST-S18-212-MT-17,LEST-S18-212-MT17,Lake Erie Salmon Trout Club,LEST,creek chub,cc,-88.27,5281,6.6
LEST-S18-630-16,LEST-S18-630-16,Lake Erie Salmon Trout Club,LEST,blacknose dace,invertivore,-117.57,14290,7
LEST-S18-ALG-1,LEST-S18-ALG-1,Lake Erie Salmon Trout Club,LEST,algae,algae,-105.06,5289,1.3
LEST-S18-ALG-2,LEST-S18-ALG-2,Lake Erie Salmon Trout Club,LEST,algae,algae,-104.66,3621,1.3
LEST-S18-ALG-3,LEST-S18-ALG-3,Lake Erie Salmon Trout Club,LEST,algae,algae,-102.5,3672,1.1
LEST-S18-CADDIS-1,LEST-S18-CADDIS-1,Lake Erie Salmon Trout Club,LEST,caddisfly,aqbase,-101.68,13513,5
LEST-S18-CADDIS-2,LEST-S18-CADDIS-2,Lake Erie Salmon Trout Club,LEST,caddisfly,aqbase,-105.19,14056,5
LEST-S18-CAT-1,LEST-S18-CAT-1,Lake Erie Salmon Trout Club,LEST,caterpillar,terbase,-86.32,14953,6.5
LEST-S18-CAT-2,LEST-S18-CAT-2,Lake Erie Salmon Trout Club,LEST,caterpillar,terbase,-85.73,15759,6.5
LEST-S18-DET-1,LEST-S18-DET-1,Lake Erie Salmon Trout Club,LEST,detritus,det,-100.2,10436,2.5
LEST-S18-DET-2,LEST-S18-DET-2,Lake Erie Salmon Trout Club,LEST,detritus,det,-97.93,12233,3
LEST-S18-DET-3,LEST-S18-DET-3,Lake Erie Salmon Trout Club,LEST,detritus,det,-95.39,9384,2.3
LEST-S18-GOL-1,LEST-S18-GOL-1,Lake Erie Salmon Trout Club,LEST,goldenrod,terpp,-134.43,15639,6.1
LEST-S18-GOL-2,LEST-S18-GOL-2,Lake Erie Salmon Trout Club,LEST,goldenrod,terpp,-135.25,15784,6.1
LEST-S18-GOL-3,LEST-S18-GOL-3,Lake Erie Salmon Trout Club,LEST,goldenrod,terpp,-128.34,15064,6
LEST-S18-SNAIL-1,LEST-S18-SNAIL-1,Lake Erie Salmon Trout Club,LEST,european garden snail,terbase,-83.04,19472,6.3
LEST-S18-SNAIL-2,LEST-S18-SNAIL-2,Lake Erie Salmon Trout Club,LEST,european garden snail,terbase,-82.2,17133,6.3
LEST-S18-SNAIL-3,LEST-S18-SNAIL-3,Lake Erie Salmon Trout Club,LEST,european garden snail,terbase,-81.97,17837,6.4
MT-S18-281-10,MT-S18-281-10,McTavish Tract,MT,brook Stickleback,planktivore,-117.34,13866,6.5
MT-S18-281-12,MT-S18-281-12,McTavish Tract,MT,brook Stickleback,planktivore,-127.54,15150,6.6
MT-S18-281-2,MT-S18-281-2,McTavish Tract,MT,brook Stickleback,planktivore,-117.22,14591,6
MT-S18-ALG-1,MT-S18-ALG-1,McTavish Tract,MT,algae,algae,-100.14,14487,4.3
MT-S18-ALG-2,MT-S18-ALG-2,McTavish Tract,MT,algae,algae,-98.43,14339,4.5
MT-S18-ALG-3,MT-S18-ALG-3,McTavish Tract,MT,algae,algae,-100.5,15514,4.4
