sitecode.x,sitename,totalcount,trichoptera,amphipoda,gastropoda,diptera,ephemeroptera,orthoptera,hemiptera,coleoptera,unknown,oligochaeta,hydrachnidia,plecoptera,unionidae,hirudinia,isopoda,hymenoptera,nematoda,megaloptera,odonata,psocoptera,lepidoptera
AC,Archie Coulter,133,71,0,7,8,24,0,0,7,1,0,0,2,0,8,1,0,0,0,3,1,0
AT,Taylor,110,3,0,102,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Gilvesy,14,1,0,2,1,0,0,1,1,0,2,0,0,1,0,0,0,1,0,4,0,0
BW,Backus Woods,12,3,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
DE,Dedricks Creek,9,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EP1,Perl 1,101,17,1,0,29,25,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0
EP2,Perl 2,52,0,0,12,32,0,0,1,1,0,2,0,0,0,1,3,0,0,0,0,0,0
EP3,Perl 3,NA,0,9,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
EP4,Perl 4,78,0,0,0,55,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0
FP,Five Points,28,1,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF,Garrod,96,5,0,22,10,20,0,0,2,0,0,0,0,2,6,29,0,0,0,0,0,0
HC,Hawkcliff,34,13,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,2,0,1,0,6
HT,Hawkins,105,0,3,5,72,2,0,4,6,0,3,0,0,1,1,0,0,2,2,1,0,0
JC,Csoff,94,55,3,0,18,12,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0
JW,White,110,63,1,0,24,5,1,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0
KC,Kettle Creek,91,31,0,1,14,19,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0
LEF,Lake Erie Farms,32,10,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEST,Lake Erie Salmon and Trout,95,23,46,0,1,2,0,1,5,0,2,0,0,0,0,14,0,0,1,0,0,0
MT,McTavish,26,5,0,3,11,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0
PF,Parrish,157,20,3,2,97,2,0,1,16,1,1,1,0,0,5,4,1,3,0,0,0,0
PVTF,Pleasant Valley Trout Farm,67,25,29,2,4,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0
SC,Caughell,73,0,6,0,62,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
UH,Underhill,25,20,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VN,VanDenNest,25,1,5,0,13,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0
WA,Watson,13,1,4,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0
WH,Washington,52,26,6,0,12,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WW,Wardsville Woods,23,18,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0