,sitecode,p_ag_250
1,AC,0.069124424
2,AT,0.843317972
3,BG,0.345794393
4,BS,0.173515982
5,BW,0.171296296
6,DE,0.171296296
7,P1,0.746543779
8,P2,0.918181818
9,P3,0.767123288
10,P4,0.394366197
11,FP,0.117647059
12,GF,0.426605505
13,HC,0
14,HT,0.046948357
15,JC,0.563636364
16,JW,0.26146789
17,KC,0.5
18,EF,0.132420091
19,ST,0.427272727
20,MT,0.580645161
21,PF,0.699074074
22,PV,0.440366972
23,SC,0.36744186
24,UH,0.493150685
25,VN,0.148148148
26,WA,0.364485981
27,WH,0.830275229
28,WW,0.244131455