"sitecode.x","role.x","d13c","d15n","dh2"
"AC","algae",-18.46317496,14.0646745133333,-155.7
"AC","aqbase",-28.92846499,13.136065225,-125.93
"AC","det",-28.3510842766667,6.47783804733333,-115.23
"AC","terbase",-26.85641291,-2.439897695,-79.895
"AT","algae",-23.5728487266667,10.32360395,-159.916666666667
"AT","det",-27.7537055133333,6.572959935,-113.393333333333
"AT","terbase",-27.674611495,7.33417350733333,-126.248333333333
"BG","algae",-24.3837777766667,4.29922222233333,-108.506666666667
"BG","det",-27.3626666666667,1.99566666666667,-115.063333333333
"BG","terbase",-29.48146503,1.29797634366667,-137.486666666667
"BS","algae",-27.6706666666667,0.998333333333333,-120.186666666667
"BS","aqbase",-28.175,4.3445,-105.995
"BS","det",-27.0466666666667,0.601777777666667,-116.246666666667
"BS","terbase",-31.166,1.89966666666667,-105.443333333333
"BW","algae",-32.037,8.43633333333333,-179.83
"BW","aqbase",-29.768,6.1195,-101.715
"BW","det",-28.259,2.45544444433333,-96.26
"BW","terbase",-28.307,0.138333333333333,-100.64
"DE","algae",-27.6045,5.3075,-137.43
"DE","det",-28.2613333333333,1.87533333333333,-108.143333333333
"DE","terbase",-29.2203333333333,-0.225,-101.14
"EP1","algae",-33.5303333333333,11.999,-106.866666666667
"EP1","aqbase",-29.508,9.52766666666667,-154.956666666667
"EP1","det",-28.6273333333333,5.28,-99.33
"EP1","terbase",-26.144,2.17966666666667,-83.05
"EP2","algae",-31.6633333333333,8.83966666666667,-113.466666666667
"EP2","det",-29.4365555566667,3.72022222233333,-101.746666666667
"EP3","algae",-36.235,10.0075,-112.865
"EP3","det",-26.25525,6.11309090925,-103.305
"EP4","algae",-31.4882971425,7.585144922,-136.8175
"EP4","det",-27.7680149533333,0.349248132666667,-107.69
"EP4","terbase",-26.4657293766667,0.731986771666667,-28.9233333333333
"FP","algae",-30.45342165,5.493899574,-107.655
"FP","det",-27.8923333333333,6.515,-103.63
"FP","terbase",-25.799,-0.203,-84.82
"GF","algae",-22.86699832,12.4160636033333,-173.22
"GF","aqbase",-24.043342425,14.629383325,-151.62
"GF","det",-28.5819587066667,6.36597785566667,-113.466666666667
"GF","terbase",-29.42901083,0.612901677,-98.15
"HC","algae",-23.45063065,9.71576028366667,-161.156666666667
"HC","aqbase",-29.23514333,12.162887935,-125.89
"HC","det",-27.4740250766667,1.48918863833333,-115
"HC","terbase",-28.1920775866667,1.03937090266667,-108.426666666667
"HT","algae",-33.563,7.73133333333333,-145.993333333333
"HT","aqbase",-26.918,9.531,-136.065
"HT","det",-27.37325,4.074875,-102.53
"HT","terbase",-23.198,-0.0483333333333333,-82.9133333333333
"JC","algae",-33.775,11.979,-111.196666666667
"JC","aqbase",-31.0959839,11.8361062133333,-118.816666666667
"JC","det",-28.1448474033333,5.70764530233333,-101.886666666667
"JC","terbase",-29.1907780633333,1.92346910433333,-140.416666666667
"JW","algae",-19.6694873966667,8.72325094533333,-158.806666666667
"JW","aqbase",-28.5208828,10.864467265,-132.755
"JW","det",-27.7294872966667,2.71044237233333,-111.573333333333
"JW","terbase",-28.349777255,0.490386066,-110.245
"KC","algae",-20.3840834366667,10.93600176,-131.446666666667
"KC","det",-27.7269719466667,2.63742122666667,-100.263333333333
"KC","terbase",-27.3438997375,0.8218019735,-92.95
"LEF","algae",-29.88056049,7.97963092966667,-169.15
"LEF","terbase",-29.2283894866667,-0.164277354666667,-122.06
"LEST","algae",-20.1256666666667,5.54366666666667,-104.073333333333
"LEST","aqbase",-30.382,7.3325,-103.435
"LEST","det",-25.5806666666667,0.955333333333333,-97.84
"LEST","terbase",-28.8256,0.7448,-83.852
"MT","algae",-27.7403333333333,2.14733333333333,-99.69
"MT","aqbase",-27.5746666666667,7.59366666666667,-121.286666666667
"MT","det",-26.0353333333333,6.859,-149.036666666667
"MT","terbase",-26.213,7.72566666666667,-113.353333333333
"PF","algae",-29.0612055133333,5.09821497066667,-127.49
"PF","aqbase",-29.1896901666667,12.5997039033333,-127.18
"PF","det",-28.68137517,6.87498075633333,-95.4566666666667
"PF","terbase",-26.4918876966667,0.552000394,-80.0666666666667
"PVTF","algae",-31.7883873833333,7.79877696733333,-124.57
"PVTF","aqbase",-27.970081255,8.535984464,-136.59
"PVTF","det",-27.9560643566667,3.569172966,-100.22
"PVTF","terbase",-26.54899765,1.00862714166667,-92.8733333333333
"SC","algae",-28.3356666666667,5.07033333333333,-123.873333333333
"SC","aqbase",-33.614,0.211,-116.1
"SC","det",-29.1116666666667,1.33933333333333,-96.7633333333333
"SC","terbase",-26.1633333333333,3.36233333333333,-89.3566666666667
"UH","aqbase",-34.007149415,4.8581021985,-187.72
"UH","det",-26.45423362,-0.711754475333333,-109.783333333333
"UH","terbase",-27.37063029,0.06806139975,-116.84
"VN","algae",-29.72539406,5.61753197233333,-167.05
"VN","det",-28.5308266566667,1.531105087,-110.563333333333
"VN","terbase",-26.56084639,1.43950836575,-96.7075
"WA","algae",-26.0973740633333,11.6559945033333,-187.603333333333
"WA","aqbase",-28.77320863,10.825194845,-112.855
"WA","det",-24.4477226233333,5.068111347,-106.1
"WA","terbase",-25.9119608666667,2.35157637266667,-104.373333333333
"WH","aqbase",-28.0354258033333,9.61807416833333,-134.456666666667
"WH","det",-26.3838068466667,1.91229177866667,-94.5733333333333
"WH","terbase",-29.6695494925,2.73721641475,-97.5375
"WW","algae",-20.245,5.5495,-163.02
"WW","aqbase",-26.609,5.943,-94.41
"WW","det",-27.3353333333333,2.2,-96.6666666666667
"WW","terbase",-26.2962222233333,-0.136,-84.7433333333333
