sitecode,sitename,Transect,Date,Time,Weather,Personnel,Latitude,Longitude,Elevation,Water Depth,Hydraulic Head,Wetted Width,Habitat,Flow,Turbidity,Canopy Cover,Dominant Substrate,Second Dominant Substrate,Woody_Debris_Substrate,Woody_Debris_Floating,Woody_Debris_Substrate,Woody_Debris_Floating,Macrophytes_Emergent,Macrophytes_Floating,Macrophytes_Submergent,Floating_Algae,Attached_Algae,Other_Algae,Ferns_Grasses,Shrubs,Deciduous_Trees,Coniferous_Trees,Crop,Notes
AT,Taylor,1,10-07-2019,9:56 AM,Sunny,"JG, IT",42.86473,81.08276,251,34,0,,Pool,Slow,Moderate,50-74%,Clay,-,0,0,1,0,0,0,2,0,1,0,Y,N,Y,N,N,
AT,Taylor,2,10-07-2019,10:17 AM,"Sunny, Hazy 26 degrees C","JG, IT",42.86508,81.08218,249,10,0,113,Riffle,Slow,Moderate,25-49%,Clay,-,0,0,0,0,0,0,0,0,1,0,Y,,,,,
AT,Taylor,3,10-07-2019,10:35 AM,Sunny,"JG, IT",42.86531,81.08157,243,23,0,94,Riffle,Slow,Moderate,75-100%,Clay,-,0,0,0,0,0,0,0,0,1,0,Y,N,Y,N,N,
AT,Taylor,4,10-07-2019,10:53 AM,Sunny 27 degrees C,"JG, IT",42.86535,81.08099,265,14.5,0.5,97,Riffle,Slow,Moderate,25-49%,Clay,-,0,0,0,0,0,0,1,0,2,0,Y,N,N,N,N,
EP1,Perl 1,1,10-07-2019,12:52 PM,Sunny,"JG, IT",42.87546,81.09948,,12,0.5,550,Riffle,Medium,Moderate,75-100%,Boulder,Clay,0,0,0,0,0,0,0,0,0,0,Y,N,Y,N,N,
EP1,Perl 1,2,10-07-2019,12:38 PM,Sunny 29 degrees C,"JG, IT",42.87548,81.09907,249,53,0,750,Riffle,Medium,Murky,50-74%,Cobble,Clay(hard),0,0,0,0,0,0,0,0,0,0,Y,N,Y,N,N,
EP1,Perl 1,3,10-07-2019,12:23 PM,,"JG, IT",42.87561,81.09869,244,22,0,600,Riffle,Medium,Moderate,0-24%,Boulder,Cobble,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,N,N,
EP1,Perl 1,4,10-07-2019,12:06 PM,"Sunny, Hazy 29 degrees C","JG, IT",42.87563,81.09832,289,20,0.5,370,Riffle,Medium,Murky,75-100%,Cobble,-,0,0,0,0,0,0,0,0,1,0,Y,N,Y,N,N,
EP2,Perl 2,1,10-07-2019,13:55,Sunny 30 degrees C,"JG, IT",42.82552,81.12075,246,11,0,187,Riffle,Medium,Moderate,75-100%,Boulder,Clay(hard),0,0,1,0,0,0,0,0,1,0,Y,Y,Y,N,N,
EP2,Perl 2,2,10-07-2019,2:15 PM,Sunny,"JG, IT",42.82555,81.1208,242,10.5,0,163,Riffle,Medium,Moderate,75-100%,Cobble,Sand,1,1,1,1,0,0,0,0,0,0,Y,Y,Y,N,N,
EP2,Perl 2,3,10-07-2019,2:27 PM,Sunny 30 degrees C,"JG, IT",42.82601,81.12035,257,76,0,390,Pool,Slow,Murky,75-100%,Clay,Silt,0,0,0,0,0,0,0,0,0,0,Y,N,Y,N,N,
EP2,Perl 2,4,10-07-2019,2:42 PM,Sunny,"JG, IT",42.8259,81.12044,252,37.5,0,370,Pool,Slow,Murky,50-74%,Gravel,Clay(hard),0,0,0,0,0,0,0,0,0,0,Y,Y,Y,Y,N,
HC,Hawkcliff,1,11-07-2019,10:07 PM,"Sunny, Clear 25 degrees C","JG, IT",42.668487,81.179498,,15,0.5,118,Riffle,Medium,Moderate,75-100%,Clay,-,2,0,1,0,0,0,0,0,0,0,Y,Y,Y,N,N,
HC,Hawkcliff,2,11-07-2019,10:22 PM,Partially Cloudy,"JG, IT",,,,20,1.5,134,Riffle,Slow,Moderate,50-74%,Clay,-,1,0,1,0,0,0,0,0,0,0,Y,Y,Y,N,N,
HC,Hawkcliff,3,11-07-2019,10:39,"Sunny, Clear 26 degrees C","JG, IT",42.66842,81.179088,215,23,5,53,Riffle,Fast,Moderate,0-24%,Clay,-,1,2,1,0,0,0,0,0,0,0,,,,,,
HC,Hawkcliff,4,11-07-2019,10:56 AM,Sunny,"JG, IT",42.6682181,81.17877799,,13,2.5,94,Riffle,Fast,Moderate,0-24%,Clay,-,2,1,2,0,0,0,0,0,0,0,Y,N,N,N,N,
LEST,LakeErieSalmon마ndTrout,1,11-07-2019,12:15,"Sunny, Clear 29 degrees C","JG, IT",42.67907,81.22472,241,47.5,0,279,Pool,Slow,Moderate,75-100%,Clay,Sand,0,0,0,0,0,0,0,0,0,0,Y,N,Y,N,N,
LEST,LakeErieSalmon마ndTrout,2,11-07-2019,12:35,Sunny,"JG, IT",42.67954,81.22412,231,27.5,0.5,209,Pool,Slow,Moderate,50-74%,Clay,Sand,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,Y,N,
LEST,LakeErieSalmon마ndTrout,3,11-07-2019,12:52,Sunny,"JG, IT",42.67952,81.22456,189,18,1.5,415,Riffle,Fast,Clear,75-100%,Boulder,-,1,1,0,0,0,0,0,0,0,0,Y,Y,Y,Y,N,
LEST,LakeErieSalmon마ndTrout,4,11-07-2019,13:02,Sunny,"JG, IT",42.67961,81.22466,178,7,3.5,263,Riffle,Fast,Clear,50-74%,Boulder,-,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,N,N,
KC,Kettle Creek,1,12-07-2019,9:43,Sunny 20 degrees C,"JG, IT",42.82848,81.14756,334,12,3,643,Riffle,Fast,Moderate,0-24%,Boulder,Sand,0,0,1,0,1(islands),0,0,0,2,0,Y,Y,Y,N,N,
KC,Kettle Creek,2,12-07-2019,10:01,sunny/cloudy 20 degrees C,"JG, IT",42.82768,81.14832,226,36,0.5,860,Riffle(small),Medium,Moderate,0-24%,Boulder,Clay,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,N,N,
KC,Kettle Creek,3,12-07-2019,10:23,Sunny 20 degrees C,"JG, IT",42.82791,81.14846,215,23,5,850,Riffle,Fast,Moderate,0-24%,Boulder,Clay,0,0,1,0,0,0,0,0,2,0,Y,Y,Y,Y,N,
KC,Kettle Creek,4,12-07-2019,10:48,Cloudy with sun,"JG, IT",42.82812,81.14848,224,56,0.5,727,Pool,Slow,Moderate,0-24%,Boulder,Clay,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,Y,N,
EP4,Perl 4,1,12-07-2019,11:45,Cloudy 23 degrees C,"JG, IT",42.80943,81.18099,221,4,1,59,Riffle,Medium,Clear,75-100%,Gravel,Clay,0,0,2,0,0,0,0,0,0,0,Y,Y,Y,N,N,
EP4,Perl 4,2,12-07-2019,12:05,Overcast 22 degrees C,"JG, IT",42.80928,81.18118,178,19,0,153,Riffle,Slow,Clear,50-74%,Clay,Gravel,1,0,1,0,0,0,0,0,0,0,Y,Y,Y,N,N,
EP4,Perl 4,3,12-07-2019,12:23,Partially Cloudy,"JG, IT",42.80964,81.18139,188,8,0.5,73,Riffle,Medium,Moderate,0-24%,Sand,Gravel,1,1,0,0,0,0,0,0,1,0,Y,Y,Y,N,N,
EP4,Perl 4,4,12-07-2019,12:36,Partially Cloudy,"JG, IT",42.80991,81.18147,250,25,0,109,Riffle/Pool,Fast,Clear,75-100%,Gravel,Sand,0,0,1,0,0,0,0,1,0,0,Y,Y,Y,N,N,
EP3,Perl 3,1,12-07-2019,,Cloudy,"JG, IT",42.81242,81.16292,244,26,0,143,Pool,Slow,Murky,0-24%,Clay,-,0,0,0,0,0,0,0,1,2,0,Y,Y,Y,N,N,
EP3,Perl 3,2,12-07-2019,13:48,Overcast 22 degrees C,"JG, IT",42.81247,81.16261,293,11,0,149,Small Riffle & Pool,Slow,Murky,,Clay,Gravel,1,1,0,0,0,0,0,0,2,0,Y,Y,Y,N,N,
EP3,Perl 3,3,12-07-2019,14:03,Cloudy,"JG, IT",42.81251,81.16222,225,28,0,125,Pool,Slow,Murky,0-24%,Clay,Gravel,1,0,1,0,0,0,0,0,2,0,Y,Y,Y,N,N,"crabapples floating, ""water is gross"" - Jenny"
EP3,Perl 3,4,12-07-2019,14:18,Overcast,"JG, IT",42.8126,81.16204,223,5,1.5,49,Riffle,Medium,Moderate,75-100%,Cobble,Sand,2,2,2,0,0,0,0,0,1,0,Y,Y,Y,N,N,
UH,Underhill,1,15-07-2019,10:40,"Sunny, Clear 22 degrees C","JG, IT",42.681146,80.790191,210,4,0.5,320,Riffle,Medium,Moderate,75-100%,Boulder,Clay,2,2,1,0,0,0,0,0,0,0,Y,N,Y,N,N,
UH,Underhill,2,15-07-2019,10:51,Sunny,"JG, IT",42.81259,81.16203,223,5,0.5,273,Riffle,Medium,Clear,75-100%,Boulder,Clay,2,2,1,1,0,0,0,0,0,0,Y,Y,Y,N,N,
UH,Underhill,3,15-07-2019,,Sunny,"JG, IT",42.67655,80.807486,2018,5.5,1,226,Riffle,Medium,Moderate,75-100%,Boulder,Clay,1,1,1,0,0,0,0,0,0,0,Y,N,Y,N,N,
UH,Underhill,4,15-07-2019,11:18,Sunny,"JG, IT",42.67799,80.981758,217,9.5,0.5,115,Riffle,Medium,Clear,75-100%,Cobble,Clay,2,2,2,0,0,0,0,0,0,0,Y,Y,Y,N,N,
VN,VanDenNest,1,15-07-2019,12:35,"Sunny, Clear 26 degrees C","JG, IT",42.78563,80.79458,213,9,0.5,141,Riffle,Medium,Clear,75-100%,Sand,Clay,1,1,0,0,0,0,0,0,0,0,Y,N,Y,N,N,
VN,VanDenNest,2,15-07-2019,12:48,Sunny,"JG, IT",42.78574,80.7947,205,7,0,252,Riffle,Medium,Clear,25-49%,Sand,Clay,1,1,1,0,0,0,0,0,0,0,Y,Y,Y,N,N,
VN,VanDenNest,3,15-07-2019,13:05,"Sunny, Clear 26 degrees C","JG, IT",42.78594,80.79492,163,8,2,175,Riffle,Medium,Clear,75-100%,Sand,-,2,2,2,0,0,0,0,0,0,0,Y,N,Y,N,N,
VN,VanDenNest,4,15-07-2019,13:18,Sunny,"JG, IT",42.78603,80.79487,165,9,1.5,224,Riffle,Medium,Clear,75-100%,Sand,-,2,2,2,0,0,0,0,0,0,0,Y,Y,Y,N,N,
BW,Backus Woods,1,16-07-2019,9:45,"Sunny, Clear","JG, IT",42.669341,80.475905,220,36,2,500,Riffle,Medium,Clear,75-100%,Sand,-,2,2,1,0,0,0,0,0,0,0,Y,N,Y,N,N,
BW,Backus Woods,2,16-07-2019,10:06,Sunny,"JG, IT",42.669002,80.475805,220,41,2,550,Riffle/Pool,Medium,Clear,75-100%,Sand,-,2,2,1,0,0,0,0,0,0,0,Y,Y,Y,Y,N,half of the stream was a pool
BW,Backus Woods,3,16-07-2019,10:23,"Sunny, Clear 29 degrees C","JG, IT",42.66914,80.47525,220,41,2.5,684,Riffle,Medium,Clear,75-100%,Sand,-,2,2,2,0,0,0,0,0,0,0,N,Y,Y,N,N,
BW,Backus Woods,4,16-07-2019,10:39,Partially Cloudy 30 degrees C,"JG, IT",42.669093,80.475198,220,17,0.5,656,Riffle,Medium,Clear,50-74%,Sand,-,2,2,2,0,0,0,0,0,0,0,Y,Y,Y,Y,N,
BC,Big Creek,1,16-07-2019,12:31,Cloudy,"JG, IT",42.659884,80.567562,206,80,3,521,Riffle,Fast,Murky,50-74%,Sand,-,1,0,0,0,0,0,0,0,0,0,Y,Y,Y,N,N,
BC,Big Creek,2,16-07-2019,12:18,Cloudy,"JG, IT",42.659884,80.567562,206,59,2.5,635,Riffle,Fast,Murky,25-49%,Sand,-,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,N,N,
BC,Big Creek,3,16-07-2019,12:04,Cloudy,"JG, IT",42.660126,80.567862,206,64,3,,Riffle,Fast,Murky,25-49%,Sand,-,1,0,0,0,0,0,0,0,0,0,Y,Y,Y,N,N,
BC,Big Creek,4,16-07-2019,11:52,"Cloudy, Slightly Rainy","JG, IT",42.660147,80.567907,206,63,5,609,Riffle,Fast,Murky,50-74%,Sand,-,1,0,1,0,0,0,0,0,0,0,Y,Y,Y,N,N,
WH,Washington,1,16-07-2019,15:31,Overcast 26 degrees C,"JG, IT",43.300161,80.560073,312,33,1,329,Riffle/Pool,Medium,Moderate,75-100%,Cobble,Sand,2,2,1,0,0,0,0,0,0,0,Y,N,Y,N,N,
WH,Washington,2,16-07-2019,15:25,,"JG, IT",43.300057,80.56024,312,31,0.5,454,Pool,Slow,Murky,75-100%,Boulder,Sand,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,N,N,pool bc of fallen log
WH,Washington,3,16-07-2019,3:12 PM,Overcast 26 degrees C,"JG, IT",43.300475,80.560296,312,42,1,,Pool,Medium,Moderate,50-74%,Silt,Cobble,1,0,1,0,0,0,0,0,0,0,Y,Y,Y,N,N,
WH,Washington,4,16-07-2019,2:46 PM,Cloudy,"JG, IT",43.286932,80.509982,296,5,3,606,Riffle,Fast,Clear,75-100%,Boulder,Cobble,1,1,1,0,0,0,0,0,1,0,Y,Y,Y,N,N,
HT,Hawkins,1,18-07-2019,,Overcast 22 degrees C,"JG, IT",42.85331,80.82164,167,46,0.5,213,Riffle,Medium,Murky,75-100%,Clay,-,2,0,1,0,0,0,0,0,1,0,Y,Y,Y,N,N,Rained yesterday
HT,Hawkins,2,18-07-2019,9:44,Cloudy,"JG, IT",42.85352,80.82121,255,42,1,136,Riffle,Medium,Moderate,75-100%,Clay,-,1,0,2,0,0,0,0,0,0,0,Y,Y,Y,N,N,
HT,Hawkins,3,18-07-2019,10:02,Overcast 22 degrees C,"JG, IT",42.85365,80.82081,219,30,2,384,Riffle,Medium,Moderate,75-100%,Clay,-,2,2,2,1,0,0,1,0,0,0,Y,N,Y,N,N,
HT,Hawkins,4,18-07-2019,10:20,Cloudy,"JG, IT",42.85392,80.8206,239,33,2,298,Riffle,Medium,Moderate,50-74%,Sand,Clay,0,0,1,0,0,0,0,0,0,0,Y,Y,Y,N,N,
PF,Parrish,1,18-07-2019,11:38,Overcast 25 degrees C,"JG, IT",42.844751,81.069429,263,25,5,283,Riffle,Fast,Murky,75-100%,Boulder,Sand,0,0,1,0,0,0,0,0,0,0,Y,N,Y,N,N,
PF,Parrish,2,18-07-2019,12:01,,"JG, IT",42.941747,80.994184,268,19,8,234,Riffle,Fast,Murky,50-74%,Boulder,Sand,0,0,0,0,0,0,0,0,1,0,Y,N,Y,N,N,
PF,Parrish,3,18-07-2019,,Cloudy,"JG, IT",42.84176,80.99374,254,40.5,0,556,Pool,Slow,Murky,0-24%,Boulder,Clay,2,0,,0,0,0,0,0,0 (? Murky),0,Y,Y,Y,N,N,
PF,Parrish,4,18-07-2019,12:37,Partially Cloudy,"JG, IT",42.842449,80.993483,268,25.5,4.5,320,Riffle,Fast,Murky,75-100%,Boulder,Sand,0,0,0,0,0,0,0,0,0,0,Y,N,Y,N,N,
WA,Watson,1,22-07-2019,,Overcast 20 degrees C,"JG, IT",42.82,80.683,227.99,75,2.5,600,Riffle,Medium,Moderate,25-49%,Sand,-,2,2,1,0,0,0,0,0,0,0,N,Y,Y,N,N,
WA,Watson,2,22-07-2019,10:52,Overcast,"JG, IT",42.820105,80.68555556,221.25,66,1.5,430,Riffle,Medium,Murky,0-24%,Sand,-,2,2,2,0,0,0,0,0,0,0,Y,Y,Y,N,N,
WA,Watson,3,22-07-2019,11:10,Overcast 20 degrees C,"JG, IT",42.82,80.685,234.49,30,2.5,587,Riffle/Pool,Medium,Murky,25-49%,Sand,Gravel,1,0,1,0,0,0,0,0,0,0,N,Y,Y,N,N,"Storms on weekend, Sam site as 2018 downstream"
WA,Watson,4,22-07-2019,11:27,Overcast,"JG, IT",42.82016667,80.68444444,272.57,47,4.5,800,Riffle,Fast,Murky,75-100%,Sand,-,2,2,2,0,0,0,0,0,0,0,Y,Y,Y,N,N,
BG,Gilvesy,1,22-07-2019,12:30,Overcast 22 degrees C,"JG, IT",42.803,80.685,253.82,25,2,217,Riffle,Medium,Clear,25-49%,Sand,Clay,1,0,2,0,0,0,0,0,0,0,Y,Y,Y,N,N,Storm on weekend
BG,Gilvesy,2,22-07-2019,12:44,Overcast,"JG, IT",42.80180833,80.68416667,290.28,37,2.5,264,Riffle,Medium,Clear,75-100%,Sand,-,2,1,2,0,0,0,0,0,0,0,Y,Y,Y,N,N,
BG,Gilvesy,3,22-07-2019,12:58,Overcast 22 degrees C,"JG, IT",42.802,80.685,227.77,26,1.5,264,Riffle,Medium,Clear,75-100%,Sand,Gravel,1,0,2,0,0,0,0,0,0,0,Y,N,Y,N,N,
BG,Gilvesy,4,22-07-2019,13:10,Overcast 22 degrees C (sun came out),"JG, IT",42.80186167,80.68388889,233.58,21.5,4,345,Riffle,Medium,Clear,50-74%,Sand,Gravel,2,2,2,0,0,0,0,0,0,0,Y,Y,Y,Y,N,
AC,Archie Coulter,1,23-07-2019,9:29,Sunny,"JG, IT",42.76651667,81.05944444,197.49,48,1,1100,Riffle,Medium,Murky,25-49%,Clay(hard),Cobble,0,0,1,0,0,0,0,0,1,0,Y,Y,Y,N,N,
AC,Archie Coulter,2,23-07-2019,9:46,"Sunny, Clear 17 degrees C","JG, IT",42.766,81.059,315.16,72,0.5,1400,Pool/Riffle,Slow,Murky,0-24%,Clay,Boulder,0,0,1,0,0,0,0,0,1,0,Y,N,Y,N,N,
AC,Archie Coulter,3,23-07-2019,9:59,Sunny,"JG, IT",42.76650333,81.05916667,212.33,59,0,1400,Pool/Riffle,Medium,Murky,0-24%,Sand,Boulder,0,0,1,0,0,0,0,0,1,0,Y,N,Y,N,N,
AC,Archie Coulter,4,23-07-2019,10:15,"Sunny, Clear 19 degrees C","JG, IT",42.767,81.059,212.45,44,7,597,Riffle,Fast,Murky,0-24%,Boulder,Sand,0,0,1,0,0,0,0,0,0,0,Y,N,Y,N,N,
GF,Garrod,1,23-07-2019,,Sunny,"JG, IT",42.75075833,81.06,206.44,41,8,1150,Riffle,Fast,Murky,0-24%,Boulder,Gravel,0,0,0,0,0,0,0,0,0,0,Y,N,Y,N,N,
GF,Garrod,2,23-07-2019,12:05,"Sunny, Clear 22 degrees C","JG, IT",42.751,81.06,205.18,28,7,1500,Riffle,Fast,Murky,0-24%,Boulder,-,0,0,0,0,0,0,0,0,1,0,Y,N,Y,N,N,
GF,Garrod,3,23-07-2019,11:33,"Sunny, Clear 22 degrees C","JG, IT",42.747,81.041,213.53,34,6,1400,Riffle,Fast,Murky,0-24%,Boulder,-,0,0,0,0,0,0,0,0,2,0,Y,N,Y,N,N,
GF,Garrod,4,23-07-2019,,Sunny,"JG, IT",42.75081333,81.06027778,207.45,57,2,1500,Riffle,Medium,Murky,0-24%,Boulder,-,0,0,0,0,0,0,0,0,1,0,Y,N,Y,N,N,
PVTF,PleasantValleyTroutFarm,1,23-07-2019,13:10,"Sunny, Some Clouds","JG, IT",42.71023667,81.05666667,191.84,11,1,195,Riffle,Medium,Clear,25-49%,Cobble,Sand,1,0,1,0,0,0,0,0,0,0,Y,Y,Y,N,N,
PVTF,PleasantValleyTroutFarm,2,23-07-2019,13:31,"Sunny, Clear 24 degrees C","JG, IT",42.71,81.057,,10,3.5,191,Riffle,Fast,Clear,75-100%,Cobble,Sand,1,0,0,0,0,0,0,0,0,0,Y,N,Y,N,N,
PVTF,PleasantValleyTroutFarm,3,23-07-2019,13:45,Sunny,"JG, IT",42.70997,81.05666667,220.36,69,0,231,Pool,Slow,Murky,75-100%,Sand,Cobble,0,0,0,0,0,0,0,0,0,0,Y,Y,Y,N,N,
PVTF,PleasantValleyTroutFarm,4,23-07-2019,13:58,"Sunny, Clear","JG, IT",42.71,81.057,192.62,25,1,174,Riffle,Slow,,50-74%,Sand,-,2,0,,0,0,0,0,0,0,0,Y,Y,Y,N,N,
